theme_code,theme_name,primary_ics,secondary_ics,notes
1,Cardiometabolic disease,NHLBI,NIDDK,"NHLBI primary for cardiovascular/sleep/blood; NIDDK shares cardio-renal/diabetes/obesity subtheme. For subtheme 1.5 CKD give NIDDK primary."
1.3-CKM,CKM syndrome (cardio-kidney-metabolic),NHLBI;NIDDK,,"Equal split between NHLBI and NIDDK (CKM by definition cross-cuts)."
1.4-stroke-cardio,Cardio-embolic stroke,NHLBI,NINDS,"NHLBI primary (cardiogenic); NINDS secondary."
2,Genomics methods & complex-trait genetics,NHGRI,,"NHGRI is the explicit IC home for genomics methods, multi-ancestry methodology, polygenic risk scores, and rare-variant association approaches."
3,Methods/infrastructure & phenotyping (non-genomic),NLM,NHGRI,"NLM primary for data/informatics/AI/EHR/FAIR/standards; NHGRI when phenotyping is genomic-coupled."
4,Mental health behavioral & substance use,NIMH,NIDA;NIAAA,"NIMH primary for mood/anxiety/psychotic disorders/wellbeing/suicide; NIDA for substance use (alcohol excluded); NIAAA for alcohol-use subtheme. Fractional split when multiple subthemes apply."
5,Cancer,NCI,,"NCI sole IC."
6,SDOH & health disparities,NIMHD,,"NIMHD is the lead IC for health-disparities research."
7,Wearables & digital health,NIBIB,NHLBI;NIDDK;NIMH,"NIBIB primary for device/sensor methods; co-attribute to disease IC by application (NHLBI for cardio/sleep, NIDDK for metabolic/glycemic, NIMH for behavioral)."
8,Infectious disease & immunology,NIAID,,"NIAID sole IC."
9,Autoimmune & inflammatory disease,NIAID,NIAMS,"NIAID for immunology framing; NIAMS for musculoskeletal/skin/RA/SLE subthemes. Equal split for ambiguous."
10,Rare disease & Mendelian genetics,NCATS,NHGRI,"NCATS for translational rare-disease work; NHGRI for Mendelian discovery and ACMG penetrance. Equal split."
11,"Aging, frailty & ADRD",NIA,NINDS,"NIA primary; NINDS secondary for PD/non-AD neurodegeneration."
12,Dermatology,NIAMS,NCI,"NIAMS primary for inflammatory skin disease; NCI for skin-cancer subtheme."
13,Respiratory & sleep medicine,NHLBI,,"NHLBI sole IC."
14,Neurology (non-ADRD),NINDS,,"NINDS sole IC."
14.2-stroke-cerebro,Non-cardio-embolic stroke,NINDS,NHLBI,"NINDS primary."
15,"Pregnancy, maternal & women's health",NICHD,,"NICHD sole IC."
16,Pharmacogenomics & drug response,NIGMS,NHGRI;NHLBI;NCI,"NIGMS primary (PGRN home); NHGRI for genomic methods; NHLBI/NCI for drug-class-specific work."
17,"ELSI, participant engagement & recruitment",NIH-Wide,NHGRI,"Pan-NIH (no single IC home). NHGRI has historical ELSI Research Program — secondary."
18,"Ophthalmology, ENT & sensory medicine",NEI,,"NEI primary. ENT/hearing typically NIDCD but NIDCD is out of scope per user decision."
19,Environmental health & climate,NIEHS,,"NIEHS sole IC."
META,AoU-program-meta-audit,NIH-Wide,,"Not counted in theme shares; if attributed, pan-NIH."
RULE-FRACTIONAL-ATTRIBUTION,,, ,"For pubs with multiple themes, attribution is split fractionally across the primary IC for each tagged theme. For a single theme with multiple primary ICs, the weight is split equally. Example: a pub tagged themes 1+2 attributes 0.5 to NHLBI and 0.5 to NHGRI. A pub tagged theme 4 with both alcohol and depression subthemes attributes 0.5 to NIMH and 0.5 to NIAAA."
RULE-OD-REATTRIBUTION,,, ,"OD-administered pubs are re-attributed to substantive-science ICs based on theme tags using the rules above. If OD pub has no informative theme tag, OD is preserved as 'OD-unattributable'."
