rank,id,label,maturity,rw_feasibility,peak_growth,pub_pct,ws_substantive_pct,ws_all_pct,opportunity
1,multimodal-modeling,Multimodal modeling / data integration,rising,high,846.0,1.61,1.59,1.2,2.305
2,genomic-foundation-models,Genomic / DNA foundation models,rising,high,359.0,0.07,0.22,0.13,2.04
3,large-language-models,Large Language Models (general-purpose LLMs),rising,high,386.0,4.05,1.47,1.69,2.039
4,foundation-models,Foundation models (general / pretrained),rising,high,359.0,0.28,0.63,0.45,2.031
5,embeddings-representation-learning,Embeddings & representation learning,established-but-underused,high,1998.3,0.42,0.62,0.49,1.64
6,causal-inference,Causal inference methods,rising,high,47.0,3.84,2.47,2.02,1.305
7,digital-wearable-biomarkers,Digital / wearable biomarkers,rising,high,53.4,5.1,7.52,6.74,1.278
8,retrieval-augmented-generation,Retrieval-Augmented Generation (RAG),rising,high,27.0,0.0,0.02,0.01,1.145
9,agentic-ai,Agentic AI / autonomous LLM agents,frontier,med,100.8,0.07,0.03,0.03,1.001
10,chain-of-thought-reasoning,Chain-of-thought / reasoning prompting,frontier,med,40.6,0.0,0.02,0.01,0.804
11,zero-shot-transfer-learning,Zero-shot / transfer learning,rising,high,5.7,0.21,0.28,0.2,0.603
12,benchmarking-evaluation,Benchmarking & model evaluation,established-but-underused,high,4.7,0.7,0.4,0.26,0.335
13,interpretable-explainable-ml,Interpretable / explainable ML,established-but-underused,high,4.6,3.77,3.5,3.22,0.32
14,transformer-architectures,Transformer & deep-learning architectures,established-but-underused,high,4.1,0.14,0.23,0.19,0.306
15,synthetic-data,Synthetic data generation,rising,high,2.1,0.21,0.14,0.1,0.257
16,federated-privacy-preserving-learning,Federated / privacy-preserving learning,rising,med,3.1,0.49,0.18,0.16,0.196
17,target-trial-emulation,Target trial emulation,rising,high,1.7,0.14,0.39,0.28,0.184
18,graph-neural-networks,Graph neural networks & network analysis,established-but-underused,med,4.5,0.21,0.36,0.27,0.163
19,mendelian-randomization,Mendelian randomization,established-but-underused,high,2.1,2.09,1.29,0.87,0.159
20,phewas,Phenome-wide association (PheWAS) methods,established-but-underused,high,2.1,2.72,4.77,4.12,0.153
21,polygenic-risk-scores,Polygenic risk scores / PRS methods,established-but-underused,high,2.1,9.64,10.12,7.15,0.145
22,digital-twins,Digital twins / in-silico modeling,frontier,med,1.9,0.0,0.11,0.07,0.139
23,generative-models,Generative AI / generative models,rising,med,2.1,0.14,0.12,0.11,0.129
24,single-cell-foundation-models,Single-cell / cell foundation models,rising,low,28.5,0.0,0.0,0.0,0.116
25,survival-time-to-event-ml,Time-to-event / survival ML,established-but-underused,high,1.7,2.72,2.8,2.16,0.112
26,protein-language-models,Protein language models,rising,low,10.0,0.21,0.16,0.1,0.08
27,spatial-singlecell-analysis-methods,Single-cell / spatial analysis methods (computational),rising,low,2.5,0.07,0.13,0.09,0.032
